Laptop,Status,Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1155G7/8GB/512GB SSD/15.6""",New,Lenovo,IdeaPad,Intel Core i5,8,512,SSD,,15.6,No,519.01
"HP 15S-FQ5028NS Intel Core i5-1235U/16GB/512GB SSD/15.6""",New,HP,15S,Intel Core i5,16,512,SSD,,15.6,No,789
"MSI Katana 15 B12VFK-095XES Intel Core i7-12650H/16GB/512GB SSD/RTX 4060/15.6""",New,MSI,Katana,Intel Core i7,16,512,SSD,RTX 4060,15.6,No,1549
"ASUS VivoBook F1500EA-EJ2384W Intel Core i3-1115G4/8GB/256GB SSD/15.6""",New,Asus,VivoBook,Intel Core i3,8,256,SSD,,15.6,No,539.01
"HP 15S-fq2159ns Intel Core i3-1115G4/8GB/256GB SSD/15.6""",New,HP,15S,Intel Core i3,8,256,SSD,,15.6,No,539
"MSI Vector GP77 13VF-022XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4060/17.3""",New,MSI,Vector,Intel Core i7,32,1000,SSD,RTX 4060,17.3,No,2249
"ASUS VivoBook Pro 15 OLED M6500QC-L1010W AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3050/15.6""",New,Asus,VivoBook,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,1299.01
"ASUS ROG Strix G15 G513RC-HF094 AMD Ryzen 7 6800H/16GB/512GB SSD/RTX3050/15.6""",New,Asus,ROG,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,1139.01
"ASUS Chromebook CX1500CNA-EJ0100 Intel Celeron N3350/8GB/64GB eMMC/15.6""",New,Asus,Chromebook,Intel Celeron,8,64,eMMC,,15.6,No,399
"HP 15S-fq5101ns Intel Core i7-1255U/16GB/512GB SSD/15.6""",New,HP,15S,Intel Core i7,16,512,SSD,,15.6,No,789
"HP 15S-EQ2090NS AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",New,HP,15S,AMD Ryzen 5,8,512,SSD,,15.6,No,599.01
HP Omen 16-b1022ns Intel Core i7-12700H/32GB/1TB SSD/RTX 3060/16.1'',New,HP,Omen,Intel Core i7,32,1000,SSD,RTX 3060,16.1,No,1699
"ASUS VivoBook 15 F1502ZA-EJ733 Intel Core i5-1235U/8GB/512GB SSD/15.6""",New,Asus,VivoBook,Intel Core i5,8,512,SSD,,15.6,No,609
"Asus ZenBook 13 OLED UX325EA-KG245 Intel Core i7-1165G7/16GB/512GB SSD/13.3""",New,Asus,ZenBook,Intel Core i7,16,512,SSD,,13.3,No,1089
HP Victus 16-d1033ns Intel Core i7-12700H/16GB/512GB SSD/RTX 3060/16.1'',New,HP,Victus,Intel Core i7,16,512,SSD,RTX 3060,16.1,No,1399
"HP 15S-fq5055ns Intel Core i7-1255U/16GB/512GB SSD/15.6""",New,HP,15S,Intel Core i7,16,512,SSD,,15.6,No,899.01
"HP 15S-eq2087ns AMD Ryzen 5 5500U/12GB/512GB SSD/15.6""",New,HP,15S,AMD Ryzen 5,12,512,SSD,,15.6,No,549
"Lenovo IdeaPad Gaming 3 15IHU6 Intel Core i5-11320H/16GB/512GB SSD/RTX3050/15.6""",New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,929
"MSI Creator M16 B13VE-682XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4050/16""",New,MSI,Creator,Intel Core i7,32,1000,SSD,RTX 4050,16,No,1899.01
"Lenovo IdeaPad 1 15ALC7 AMD Ryzen 7 5700U/16GB/512GB SSD/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 7,16,512,SSD,,15.6,No,829
"HP 15S-fq2158ns Intel Core i3-1115G4/8GB/256GB SSD/15.6""",New,HP,15S,Intel Core i3,8,256,SSD,,15.6,No,449
"Apple MacBook Air Apple M1/8GB/256GB SSD/GPU Hepta Core/13.3"" Gris Espacial",New,Apple,MacBook Air,Apple M1,8,256,SSD,,13.3,No,1219
"Lenovo ThinkBook 14 Intel Core i5-1135G7/8GB/256GB SSD/14""",New,Lenovo,ThinkBook,Intel Core i5,8,256,SSD,,14,No,699
"ASUS TUF Gaming A15 2023 FA507NV-LP041 AMD Ryzen 7 7735HS/16GB/1TB SSD/RTX 4060/15.6""",New,Asus,TUF,AMD Ryzen 7,16,1000,SSD,RTX 4060,15.6,No,1349
"MSI Katana 15 B12VGK-094XES Intel Core i7-12650H/16GB/1TB SSD/RTX 4070/15.6""",New,MSI,Katana,Intel Core i7,16,1000,SSD,RTX 4070,15.6,No,1699
"ASUS M515UA-EJ522W AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",New,Asus,M515UA,AMD Ryzen 5,8,512,SSD,,15.6,No,699
"HP Victus 16-e0101ns AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3060/16.1""",New,HP,Victus,AMD Ryzen 7,16,512,SSD,RTX 3060,16.1,No,1299.01
"HP 250 G9 Intel Celeron N4500/8 GB/256GB SSD/15.6""",New,HP,250,Intel Celeron,8,256,SSD,,15.6,No,399
"HP OMEN 16-C0042NS AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3050 Ti/16.1""",New,HP,Omen,AMD Ryzen 7,16,512,SSD,RTX 3050,16.1,No,1149
"MSI Modern 15 B7M-041XES AMD Ryzen 5 7530U/16GB/512GB SSD/15.6""",New,MSI,Modern,AMD Ryzen 5,16,512,SSD,,15.6,No,839
"HP 255 G9 AMD Athlon 3020e/8GB/512GB SSD/15.6""",New,HP,255,AMD Athlon,8,512,SSD,,15.6,No,379
"ASUS VivoBook 15 F1500EA-EJ3022 Intel Core i7-1165G7/16GB/512GB SSD/15.6""",New,Asus,VivoBook,Intel Core i7,16,512,SSD,,15.6,No,809.01
"Lenovo V15 G2 ITL Intel Core i5-1135G7/8 GB/512 GB SSD/15.6""",New,Lenovo,V15,Intel Core i5,8,512,SSD,,15.6,No,779
"ASUS VivoBook 15 F1500EA-EJ3023 Intel Core i7-1165G7/8GB/512GB SSD/15.6""",New,Asus,VivoBook,Intel Core i7,8,512,SSD,,15.6,No,749
"MSI Thin GF63 12VE-009XES Intel Core i5-12450H/16GB/512GB SSD/RTX 4050/15.6""",New,MSI,Thin,Intel Core i5,16,512,SSD,RTX 4050,15.6,No,1099
"MSI Modern 15 B13M-281XES Intel Core i7-1355U/16GB/1TB SSD/15.6""",New,MSI,Modern,Intel Core i7,16,1000,SSD,,15.6,No,999
"HP 15S-eq2088ns AMD Ryzen 7 5700U/16GB/512GB SSD/15.6""",New,HP,15S,AMD Ryzen 7,16,512,SSD,,15.6,No,649.01
"MSI Vector GP77 13VG-021XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4070/17.3""",New,MSI,Vector,Intel Core i7,32,1000,SSD,RTX 4070,17.3,No,2499
"ASUS VivoBook 15 F1500EA-EJ3067W Intel Core i7-1165G7/8GB/512GB SSD/15.6""",New,Asus,VivoBook,Intel Core i7,8,512,SSD,,15.6,No,859
"MSI Creator M16 B12UDX-809XES Intel Core i7-12650H/32GB/1TB SSD/RTX 3050/16""",New,MSI,Creator,Intel Core i7,32,1000,SSD,RTX 3050,16,No,1499.01
"Apple Macbook Pro Apple M2/8GB/256GB SSD/GPU Deca Core/13.3"" Plata",New,Apple,MacBook Pro,Apple M2,8,256,SSD,,13.3,No,1599
"ASUS TUF Gaming A15 2023 FA507XI-LP024 AMD Ryzen 9 7940HS/32GB/512GB SSD/RTX 4070/15.6""",New,Asus,TUF,AMD Ryzen 9,32,512,SSD,RTX 4070,15.6,No,1699.01
"MSI Katana 15 B13VFK-031XES Intel Core i7-13620H/16GB/1TB SSD/RTX 4060/15.6""",New,MSI,Katana,Intel Core i7,16,1000,SSD,RTX 4060,15.6,No,1699
"HP Victus 16-d1021ns Intel Core i7-12700H/16GB/512GB SSD/RTX 3050Ti/16.1""",New,HP,Victus,Intel Core i7,16,512,SSD,RTX 3050,16.1,No,1199
"MSI Modern 14 C13M-426XES Intel Core i7-1355U/16GB/1TB SSD/14""",New,MSI,Modern,Intel Core i7,16,1000,SSD,,14,No,999
"MSI Modern 15 B12M-430XES Intel Core i3-1215U/8GB/256GB SSD/15.6""",New,MSI,Modern,Intel Core i3,8,256,SSD,,15.6,No,499
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 3 5300U/8GB/256GB SSD/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,,15.6,No,499
"MSI Prestige 14H B12UCX-414XES Intel Core i5-12450H/16GB/512GB SSD/RTX 2050/14""",New,MSI,Prestige,Intel Core i5,16,512,SSD,RTX 2050,14,No,999
"Lenovo IdeaPad 3 15ITL6 Intel Core i7-1165G7/16GB/512 GB SSD/15.6""",New,Lenovo,IdeaPad,Intel Core i7,16,512,SSD,,15.6,No,749
"Lenovo ThinkBook 15 G2 ITL Intel Core i5-1135G7/8 GB/256GB SSD/15.6"" Gris",New,Lenovo,ThinkBook,Intel Core i5,8,256,SSD,,15.6,No,879
"MSI Prestige 14H B12UCX-413XES Intel Core i7-12650H/16GB/1TB SSD/RTX 2050/14""",New,MSI,Prestige,Intel Core i7,16,1000,SSD,RTX 2050,14,No,1489
"HP Pavilion 15-eg2004ns Intel Core i7-1255U/16GB/512GB SSD/15.6""",New,HP,Pavilion,Intel Core i7,16,512,SSD,,15.6,No,999
"HP Victus 15-fa0026ns Intel Core i5-12450H/16GB/512GB SSD/GTX 1650/15.6""",New,HP,Victus,Intel Core i5,16,512,SSD,GTX 1650,15.6,No,999
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1155G7/8 GB/512GB SSD/15.6""",New,Lenovo,IdeaPad,Intel Core i5,8,512,SSD,,15.6,No,589
"Lenovo ThinkBook 14 G4 IAP Intel Core i5-1235U/8GB/256GB SSD/14""",New,Lenovo,ThinkBook,Intel Core i5,8,256,SSD,,14,No,959
"HP Victus 15-fa0004ns Intel Core i5-12500H/16GB/512GB SSD/GTX 1650/15.6""",New,HP,Victus,Intel Core i5,16,512,SSD,GTX 1650,15.6,No,1039
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 5 5500U/8GB/512GBSSD/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,,15.6,No,599
"HP 15S-fq5094ns Intel Core i7-1255U/8GB/512GB SSD/15.6""",New,HP,15S,Intel Core i7,8,512,SSD,,15.6,No,739.01
"MSI Stealth 16 Studio A13VF-038XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4060/16""",New,MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4060,16,No,2449
"Acer Aspire 5 A515-57-76BV Intel Core i7-1255U/8GB/512GB SSD/15.6""",New,Acer,Aspire,Intel Core i7,8,512,SSD,,15.6,No,839
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 3 5300U/8 GB/256GB SSD/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,,15.6,No,499
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 7 5700U/8 GB/512GB SSD/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 7,8,512,SSD,,15.6,No,699
"MSI Pulse 15 B13VFK-448XES Intel Core i9-13900H/32GB/1TB SSD/RTX 4060/15.6""",New,MSI,Pulse,Intel Core i9,32,1000,SSD,RTX 4060,15.6,No,2399.01
"Lenovo IdeaPad 1 15ADA7 AMD 3020e/4GB/128GB SSD/15.6""",New,Lenovo,IdeaPad,AMD 3020e,4,128,SSD,,15.6,No,442.99
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 5 5500U/8 GB/512GB SSD/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,,15.6,No,689.01
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1155G7/16 GB/512GB SSD/15.6""",New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,,15.6,No,749
"Lenovo IdeaPad 1 15ADA7 AMD 3020e/4GB/256GB SSD/15.6""",New,Lenovo,IdeaPad,AMD 3020e,4,256,SSD,,15.6,No,321.99
"MSI Modern 15 B11M-043XES Intel Core i5-1155G7/8GB/512GB SSD/15.6""",New,MSI,Modern,Intel Core i5,8,512,SSD,,15.6,No,599
"ASUS ZenBook 13 OLED UX325EA-KG448W Intel Core i7-1165G7/16GB/512GB SSD/13.3""",New,Asus,ZenBook,Intel Core i7,16,512,SSD,,13.3,No,1199
"ASUS TUF Gaming F15 FX506HF-HN004 Intel Core i5-11400H/16GB/512GB SSD/RTX 2050/15.6""",New,Asus,TUF,Intel Core i5,16,512,SSD,RTX 2050,15.6,No,949
"ASUS VivoBook F1605PA-MB125W Intel Core i5-11300H/16GB/512GB SSD/16""",New,Asus,VivoBook,Intel Core i5,16,512,SSD,,16,No,799
"Razer Blade 15 Advanced Model QHD Intel Core i7-12800H/16GB/1TB SSD/RTX 3070Ti/15.6""",New,Razer,Blade,Intel Core i7,16,1000,SSD,RTX 3070,15.6,No,3299.99
"Medion Akoya E15301 AMD Ryzen 7 3700U/8 GB/256GB SSD/15.6""",New,Medion,Akoya,AMD Ryzen 7,8,256,SSD,,15.6,No,478.99
"ASUS ExpertBook B1 B1502CBA-EJ0469X Intel Core i5-1235U/8GB/256GB SSD/15.6""",New,Asus,ExpertBook,Intel Core i5,8,256,SSD,,15.6,No,989
"Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U/8 GB/256GB SSD/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,,15.6,No,439.99
"HP 15S-eq2089ns AMD Ryzen 3 5300U/8GB/256GB SSD/15.6""",New,HP,15S,AMD Ryzen 3,8,256,SSD,,15.6,No,529
"ASUS VivoBook F1605PA-MB143 Intel Core i7-11370H/8GB/512GB SSD/16""",New,Asus,VivoBook,Intel Core i7,8,512,SSD,,16,No,709
"ASUS Vivobook Go E1504FA-BQ204W AMD Ryzen 5 7520U/8GB/512GB SSD/Radeon 610M/15.6""",New,Asus,VivoBook,AMD Ryzen 5,8,512,SSD,610 M,15.6,No,509.99
"Lenovo IdeaPad 1 15ALC7 AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,,15.6,No,659
"Lenovo IdeaPad 3 15ITL6 Intel Core i7-1165G7/16GB/512GBSSD/15.6""",New,Lenovo,IdeaPad,Intel Core i7,16,512,SSD,,15.6,No,749
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 7 5700U/8GB/512 GB SSD/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 7,8,512,SSD,,15.6,No,589
"Lenovo IdeaPad 1 15ALC7 AMD Ryzen 5 5500U/8 GB/512GB SSD/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,,15.6,No,549
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 3 5300U/8GB/256 GB SSD/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,,15.6,No,459
"ASUS VivoBook F1605PA-MB124W Intel Core i7-11370H/8GB/512GB SSD/16""",New,Asus,VivoBook,Intel Core i7,8,512,SSD,,16,No,819
"ASUS VivoBook F1605PA-MB146 Intel Core i5-11300H/8GB/512GB SSD/16""",New,Asus,VivoBook,Intel Core i5,8,512,SSD,,16,No,609.01
"ASUS ZenBook 14 UM425QA-KI252 AMD Ryzen 7 5800H/16GB/512GB SSD/14""",New,Asus,ZenBook,AMD Ryzen 7,16,512,SSD,,14,No,999
"Acer Aspire 3 A315-59-504M Intel Core i5-1235U/16GB/512GB SSD/15.6""",New,Acer,Aspire,Intel Core i5,16,512,SSD,,15.6,No,739.01
"Lenovo IdeaPad Gaming 3 15IAH7 Intel Core i7-12700H/16GB/512GB SSD/RTX3060/15.6""",New,Lenovo,IdeaPad,Intel Core i7,16,512,SSD,RTX 3060,15.6,No,1399
"ASUS VivoBook F1500EA-EJ3070W Intel Core i5-1135G7/16GB/512GB SSD/15.6""",New,Asus,VivoBook,Intel Core i5,16,512,SSD,,15.6,No,759.01
"Lenovo IdeaPad 1 15ALC7 AMD Ryzen 5 5500U/16GB/512GB SSD/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,,15.6,No,729
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1155G7/16GB/512GB SSD/15.6""",New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,,15.6,No,749
"HP 255 G9 AMD Athlon 3020e/8GB/256GB SSD/15.6""",New,HP,255,AMD Athlon,8,256,SSD,,15.6,No,349
"Lenovo IdeaPad 3 15ITL6 Intel Core i3-1115G4/8 GB/256GBSSD/15.6""",New,Lenovo,IdeaPad,Intel Core i3,8,256,SSD,,15.6,No,479
"HP 255 G9 AMD Ryzen 5 5625U/16GB/512 GB SSD/15.6""",New,HP,255,AMD Ryzen 5,16,512,SSD,,15.6,No,873.29
"Lenovo IdeaPad 5 15ALC05 AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,,15.6,No,589
"ASUS Chromebook CX1400CKA-EK0138 Intel Celeron N4500/8GB/64GB eMMC/14""",New,Asus,Chromebook,Intel Celeron,8,64,eMMC,,14,No,399.01
"Lenovo Legion 5 15ACH6H AMD Ryzen 7 5800H/16GB/512GB SSD/RTX3050Ti/15.6""",New,Lenovo,Legion,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,1079.01
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1135G7/8GB/512GB SSD/15.6"" Azul",New,Lenovo,IdeaPad,Intel Core i5,8,512,SSD,,15.6,No,649
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 7 5800H/16GB/512GB SSD/RTX 3050Ti/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,999
"Lenovo ThinkBook 14 G2 ITL Intel Core i5-1135G7/16 GB/512GB SSD/14""",New,Lenovo,ThinkBook,Intel Core i5,16,512,SSD,,14,No,1019
"MSI Pulse GL76 12UEK-828XES Intel Core i7-12700H/32GB/1TB SSD/RTX 3060/17.3""",New,MSI,Pulse,Intel Core i7,32,1000,SSD,RTX 3060,17.3,No,1499
"Apple Macbook Air Apple M2/8GB/256GB SSD/GPU Octa Core/13.6"" Gris Espacial",New,Apple,MacBook Air,Apple M2,8,256,SSD,,13.6,No,1519
"Acer Aspire 3 A317-53-53U0 Intel Core i5-1135G7/8GB/512GB SSD/17.3""",New,Acer,Aspire,Intel Core i5,8,512,SSD,,17.3,No,729
"MSI Raider GE68HX 13VF-045XES Intel Core i9-13950HX/32GB/1TB SSD/RTX 4060/16""",New,MSI,Raider,Intel Core i9,32,1000,SSD,RTX 4060,16,No,2599
"HP 15S-fq4042ns Intel Core i7-1195G7/8GB/512GB SSD/15.6""",New,HP,15S,Intel Core i7,8,512,SSD,,15.6,No,699
"Lenovo Legion 5 15IAH7H Intel Core i7-12700H/16GB/512GB SSD/RTX3060/15.6""",New,Lenovo,Legion,Intel Core i7,16,512,SSD,RTX 3060,15.6,No,1599
"HP ProBook 450 G8 Intel Core i5-1135G7/8 GB/256GB SSD/15.6""",New,HP,ProBook,Intel Core i5,8,256,SSD,,15.6,No,739.01
"ASUS VivoBook 15 F1500EA-EJ3021 Intel Core i5-1135G7/16GB/512GB SSD/15.6""",New,Asus,VivoBook,Intel Core i5,16,512,SSD,,15.6,No,709
"Lenovo IdeaPad Gaming 3 15IAH7 Intel Core i5-12500H/16 GB/512GB SSD/RTX3050Ti/15.6""",New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,1059
"MSI Modern 14 C13M-447XES Intel Core i5-1335U/16GB/512GB SSD/14""",New,MSI,Modern,Intel Core i5,16,512,SSD,,14,No,799
"MSI Modern 14 C12M-017XES Intel Core i7-1255U/16GB/512GB SSD/14""",New,MSI,Modern,Intel Core i7,16,512,SSD,,14,No,999
"Lenovo IdeaPad 3 15ITL6 Intel Core i7-1165G7/16 GB/512GB SSD/15.6""",Refurbished,Lenovo,IdeaPad,Intel Core i7,16,512,SSD,,15.6,No,899
"MSI Pulse 15 B13VGK-433XES Intel Core i9-13900H/32GB/1TB SSD/RTX 4070/15.6""",New,MSI,Pulse,Intel Core i9,32,1000,SSD,RTX 4070,15.6,No,2299
MSI Stealth 15 A13VF-028XES Intel Core i7-13620H/32GB/1TB SSD/RTX 4060/15.6'',New,MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4060,15.6,No,1899
"ASUS Chromebook CX1400FKA-EC0078 Intel Celeron N4500/8GB/64GB eMMC/14"" Táctil",New,Asus,Chromebook,Intel Celeron,8,64,eMMC,,14,Yes,449
"Lenovo V15 G2 ITL Intel Core i5-1135G7/16 GB/512GB SSD/15.6""",New,Lenovo,V15,Intel Core i5,16,512,SSD,,15.6,No,699
"ASUS Chromebook CX1400CNA-BV0210 Intel Celeron N3350/8GB/32GB/14""",New,Asus,Chromebook,Intel Celeron,8,32,,,14,No,349
"MSI Vector GP68HX 12VH-009XES Intel Core i9-12900HX/32GB/1TB SSD/RTX 4080/16""",New,MSI,Vector,Intel Core i9,32,1000,SSD,RTX 4080,16,No,2599
"HP 15S-fq5075ns Intel Core i5-1235U/8GB/512GB SSD/15.6""",New,HP,15S,Intel Core i5,8,512,SSD,,15.6,No,579.01
"Acer Aspire 3 A315-59-56GV Intel Core i5-1235U/8GB/512GB SSD/15.6""",New,Acer,Aspire,Intel Core i5,8,512,SSD,,15.6,No,749
"ASUS ExpertBook P1512CEA-EJ0083X Intel Core i3-1115G4/8GB/256GB SSD/15.6""",New,Asus,ExpertBook,Intel Core i3,8,256,SSD,,15.6,No,549
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 5 5600H/16GB/512GB SSD/RTX3050/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,RTX 3050,15.6,No,979
"ASUS ZenBook 14 OLED UM3402YA-KM513 AMD Ryzen 5 7530U/16GB/512GB SSD/14""",New,Asus,ZenBook,AMD Ryzen 5,16,512,SSD,,14,No,969
"Lenovo IdeaPad Gaming 3 15IAH7 Intel Core i5-12500H/16GB/512GB SSD/RTX3050/15.6""",New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,1099
"Lenovo Legion 5 15ITH6H Intel Core i5-11400H/16GB/512GB SSD/RTX3060/15.6""",New,Lenovo,Legion,Intel Core i5,16,512,SSD,RTX 3060,15.6,No,1319.01
